handicapped-infants, water-project-cost-sharing, adoption-of-the-budget-resolution, physician-fee-freeze, el-salvador-aid, religious-groups-in-schools, anti-satellite-test-ban, aid-to-nicaraguan-contras, mx-missile, immigration, synfuels-corporation-cutback, education-spending, superfund-right-to-sue, crime, duty-free-exports, export-administration-act-south-africa, Party
y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,abstain,democrat
n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
y,y,y,n,abstain,y,y,y,n,y,abstain,n,n,n,y,y,democrat
y,y,y,n,abstain,n,y,y,y,y,n,n,n,n,y,abstain,democrat
n,y,y,y,y,y,n,n,n,n,y,y,abstain,y,n,n,democrat
n,y,y,abstain,y,y,n,y,n,y,abstain,n,y,y,abstain,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,democrat
y,abstain,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,abstain,abstain,n,n,abstain,n,y,abstain,abstain,abstain,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,y,abstain,y,y,n,y,n,y,n,y,y,democrat
y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,abstain,democrat
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,abstain,democrat
y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,democrat
n,abstain,y,n,y,y,n,y,n,n,y,n,n,n,n,abstain,democrat
y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,abstain,democrat
n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,abstain,democrat
y,n,y,n,n,n,y,y,y,abstain,y,n,n,n,y,abstain,democrat
abstain,abstain,n,n,abstain,y,abstain,n,n,n,y,y,n,y,n,abstain,democrat
y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,democrat
y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
abstain,abstain,abstain,abstain,n,y,n,y,y,n,n,y,y,n,n,abstain,republican
y,y,abstain,abstain,abstain,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,abstain,n,n,n,y,n,n,y,n,n,n,y,y,democrat
y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,democrat
y,y,n,n,y,abstain,n,n,n,n,y,n,y,y,n,y,democrat
n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
n,y,n,y,abstain,y,n,n,n,y,n,y,y,y,n,n,republican
